Date,weekday,Hour,DA_DEMD,DryBulb,DewPnt,load
1/1/11,0,1,11722.0,36,29,12214
1/1/11,0,2,11253.0,36,29,11573
1/1/11,0,3,10459.0,35,29,11114
1/1/11,0,4,10531.0,35,30,10863
1/1/11,0,5,10841.0,36,31,10827
1/1/11,0,6,10661.0,36,31,11005
1/1/11,0,7,11640.0,36,32,11415
1/1/11,0,8,11972.0,35,31,11753
1/1/11,0,9,12735.0,35,32,12435
1/1/11,0,10,13503.0,39,34,13073
1/1/11,0,11,13847.0,43,35,13558
1/1/11,0,12,13799.0,47,37,13726
1/1/11,0,13,13639.0,49,38,13708
1/1/11,0,14,13452.0,51,39,13522
1/1/11,0,15,13299.0,53,39,13373
1/1/11,0,16,13436.0,51,38,13574
1/1/11,0,17,14728.0,48,37,14858
1/1/11,0,18,15682.0,46,37,15895
1/1/11,0,19,15699.0,46,37,15753
1/1/11,0,20,15366.0,44,36,15331
1/1/11,0,21,14663.0,44,37,14817
1/1/11,0,22,13718.0,44,38,14105
1/1/11,0,23,12711.0,43,38,13136
1/1/11,0,24,11430.0,44,40,12055
1/2/11,0,1,11259.0,44,41,11149
1/2/11,0,2,10591.0,43,41,10553
1/2/11,0,3,10317.0,43,41,10235
1/2/11,0,4,10298.0,43,41,10126
1/2/11,0,5,10338.0,43,42,10179
1/2/11,0,6,10558.0,43,42,10446
1/2/11,0,7,10893.0,43,42,10975
1/2/11,0,8,11540.0,42,42,11615
1/2/11,0,9,12398.0,42,41,12539
1/2/11,0,10,13071.0,42,42,13477
1/2/11,0,11,13520.0,44,43,14033
1/2/11,0,12,13571.0,45,43,14323
1/2/11,0,13,13700.0,46,43,14448
1/2/11,0,14,13569.0,47,43,14374
1/2/11,0,15,13501.0,47,42,14266
1/2/11,0,16,13655.0,46,42,14421
1/2/11,0,17,14755.0,45,39,15708
1/2/11,0,18,15893.0,44,38,16803
1/2/11,0,19,16009.0,42,35,16657
1/2/11,0,20,15547.0,41,33,16213
1/2/11,0,21,15025.0,40,31,15586
1/2/11,0,22,14049.0,38,28,14579
1/2/11,0,23,12748.0,36,26,13386
1/2/11,0,24,11644.0,35,23,12270
1/3/11,1,1,10983.0,33,21,11594
1/3/11,1,2,10695.0,32,19,11216
1/3/11,1,3,10527.0,30,17,11113
1/3/11,1,4,10550.0,30,16,11223
1/3/11,1,5,10845.0,29,15,11635
1/3/11,1,6,11971.0,29,15,12841
1/3/11,1,7,13894.0,28,13,14927
